[Fri Mar 16 17:14:32.056614 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056626 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  15. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056638 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  16. App\\Http\\Middleware\\TrimStrings->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056651 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056662 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  18. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056674 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  19. Illuminate\\Foundation\\Http\\Middleware\\ConvertEmptyStringsToNull->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056690 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  20. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056705 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  21. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056719 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  22. App\\Http\\Middleware\\TrustProxies->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056732 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/fideloper/proxy/src/TrustProxies.php:56, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056752 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  24. App\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056763 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  25. Illuminate\\Routing\\Router->dispatch() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056775 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  26. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:590, referer: http://localhost:3000/
[Fri Mar 16 17:14:32.056787 2018] [php7:notice] [pid 4282] [client 127.0.0.1:43916] PHP  27. Illuminate\\Routing\\Router->runRoute() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:601, referer: http://localhost:3000/
